day,Thatcher net,Thatcher net (low),Thatcher net (high),Major net,Major net (low),Major net (high),Blair net,Blair net (low),Blair net (high),Brown net,Brown net (low),Brown net (high),Cameron net,Cameron net (low),Cameron net (high),May net,May net (low),May net (high),Johnson net,Johnson net (low),Johnson net (high),Truss net,Truss net (low),Truss net (high),Sunak net,Sunak net (low),Sunak net (high),Starmer net,Starmer net (low),Starmer net (high)
1721,-0.04,-2.99,2.01,-46.16,-52.87,-39.37,8.65,-2.34,19.43,,,,-10.18,-11.66,-8.85,,,,,,,,,,,,,,,
1722,-0.09,-3.3,2.0,-46.03,-52.76,-39.28,8.46,-2.97,19.2,,,,-10.11,-11.56,-8.79,,,,,,,,,,,,,,,
1723,-0.14,-3.54,2.0,-45.9,-52.67,-39.19,8.28,-3.08,18.87,,,,-10.03,-11.51,-8.69,,,,,,,,,,,,,,,
1724,-0.19,-3.67,2.01,-45.77,-52.61,-39.13,8.11,-3.17,18.81,,,,-9.95,-11.43,-8.62,,,,,,,,,,,,,,,
1725,-0.24,-3.79,2.02,-45.64,-52.54,-39.12,7.95,-3.23,18.77,,,,-9.88,-11.39,-8.52,,,,,,,,,,,,,,,
1726,-0.3,-3.92,1.99,-45.51,-52.45,-39.11,7.8,-3.28,18.73,,,,-9.8,-11.37,-8.43,,,,,,,,,,,,,,,
1727,-0.35,-4.03,1.94,-45.38,-52.37,-39.07,7.66,-3.36,18.71,,,,-9.72,-11.33,-8.37,,,,,,,,,,,,,,,
1728,-0.41,-4.14,1.93,-45.25,-52.27,-39.01,7.52,-3.43,18.61,,,,-9.64,-11.23,-8.28,,,,,,,,,,,,,,,
1729,-0.46,-4.2,1.91,-45.12,-52.16,-38.93,7.4,-3.54,18.5,,,,-9.57,-11.12,-8.19,,,,,,,,,,,,,,,
1730,-0.51,-4.26,1.86,-45.0,-52.04,-38.87,7.28,-3.63,18.4,,,,-9.49,-11.01,-8.1,,,,,,,,,,,,,,,
1731,-0.57,-4.31,1.76,-44.87,-52.0,-38.81,7.16,-3.63,18.24,,,,-9.41,-10.94,-8.06,,,,,,,,,,,,,,,
1732,-0.62,-4.36,1.67,-44.75,-52.0,-38.77,7.05,-3.56,18.05,,,,-9.33,-10.91,-8.03,,,,,,,,,,,,,,,
1733,-0.68,-4.42,1.69,-44.62,-52.0,-38.74,6.94,-3.57,17.85,,,,-9.25,-10.81,-7.98,,,,,,,,,,,,,,,
1734,-0.73,-4.5,1.7,-44.5,-52.0,-38.73,6.84,-3.58,17.66,,,,-9.18,-10.72,-7.9,,,,,,,,,,,,,,,
1735,-0.78,-4.56,1.68,-44.38,-52.0,-38.71,6.73,-3.64,16.14,,,,-9.1,-10.68,-7.83,,,,,,,,,,,,,,,
1736,-0.83,-4.62,1.64,-44.26,-52.0,-38.69,6.63,-3.65,16.05,,,,-9.02,-10.65,-7.77,,,,,,,,,,,,,,,
1737,-0.89,-4.69,1.59,-44.13,-50.97,-39.27,6.52,-3.66,15.95,,,,-8.94,-10.57,-7.68,,,,,,,,,,,,,,,
1738,-0.94,-4.75,1.54,-44.01,-50.79,-39.27,6.41,-3.67,15.87,,,,-8.87,-10.48,-7.6,,,,,,,,,,,,,,,
1739,-0.99,-4.81,1.49,-43.89,-51.95,-38.71,6.3,-3.67,15.81,,,,-8.79,-10.38,-7.51,,,,,,,,,,,,,,,
1740,-1.04,-4.88,1.44,-43.76,-51.91,-38.71,6.18,-3.68,15.69,,,,-8.71,-10.29,-7.41,,,,,,,,,,,,,,,
1741,-1.09,-4.66,1.4,-43.64,-51.85,-38.74,6.06,-3.71,15.52,,,,-8.64,-10.21,-7.34,,,,,,,,,,,,,,,
1742,-1.14,-4.79,1.39,-43.52,-51.8,-38.77,5.94,-3.77,15.35,,,,-8.56,-10.13,-7.26,,,,,,,,,,,,,,,
1743,-1.19,-4.88,1.37,-43.4,-51.73,-38.8,5.81,-3.79,15.18,,,,-8.49,-10.08,-7.19,,,,,,,,,,,,,,,
1744,-1.25,-4.89,1.35,-43.27,-51.64,-38.78,5.68,-3.8,15.0,,,,-8.42,-10.04,-7.12,,,,,,,,,,,,,,,
1745,-1.3,-4.88,1.33,-43.15,-51.53,-38.74,5.54,-3.82,14.81,,,,-8.35,-9.97,-7.05,,,,,,,,,,,,,,,
1746,-1.35,-4.86,1.3,-43.03,-51.38,-38.66,5.4,-3.79,14.63,,,,-8.27,-9.92,-6.97,,,,,,,,,,,,,,,
1747,-1.41,-4.87,1.27,-42.91,-51.2,-38.59,5.25,-3.77,14.46,,,,-8.21,-9.86,-6.88,,,,,,,,,,,,,,,
1748,-1.47,-4.91,1.25,-42.79,-50.96,-38.56,5.09,-3.75,14.37,,,,-8.14,-9.81,-6.78,,,,,,,,,,,,,,,
1749,-1.54,-5.07,1.23,-42.68,-50.66,-38.52,4.93,-3.75,14.25,,,,-8.07,-9.76,-6.69,,,,,,,,,,,,,,,
1750,-1.6,-5.09,1.15,-42.56,-50.29,-38.52,4.77,-3.81,14.12,,,,-8.01,-9.71,-6.6,,,,,,,,,,,,,,,
1751,-1.67,-5.12,1.1,-42.45,-49.87,-38.53,4.6,-3.93,13.98,,,,-7.94,-9.6,-6.52,,,,,,,,,,,,,,,
1752,-1.74,-5.21,1.05,-42.34,-49.49,-38.47,4.42,-3.96,13.82,,,,-7.88,-9.56,-6.43,,,,,,,,,,,,,,,
1753,-1.82,-5.31,1.0,-42.23,-48.82,-38.47,4.24,-3.98,13.66,,,,-7.82,-9.54,-6.33,,,,,,,,,,,,,,,
1754,-1.9,-5.41,0.94,-42.12,-48.17,-38.47,4.05,-4.0,13.49,,,,-7.76,-9.5,-6.24,,,,,,,,,,,,,,,
1755,-1.98,-5.49,0.88,-42.02,-47.73,-38.48,3.85,-4.03,13.3,,,,-7.7,-9.44,-6.18,,,,,,,,,,,,,,,
1756,-2.06,-5.51,0.82,-41.92,-47.6,-38.46,3.65,-4.05,13.09,,,,-7.64,-9.39,-6.12,,,,,,,,,,,,,,,
1757,-2.15,-5.56,0.74,-41.82,-47.47,-38.39,3.45,-4.08,12.72,,,,-7.59,-9.35,-6.05,,,,,,,,,,,,,,,
1758,-2.24,-5.62,0.67,-41.72,-47.34,-38.34,3.23,-4.11,12.28,,,,-7.53,-9.3,-5.98,,,,,,,,,,,,,,,
1759,-2.33,-5.71,0.59,-41.63,-47.2,-38.37,3.02,-4.14,11.98,,,,-7.48,-9.25,-5.94,,,,,,,,,,,,,,,
1760,-2.43,-5.77,0.48,-41.54,-47.05,-38.39,2.8,-4.17,11.73,,,,-7.43,-9.2,-5.86,,,,,,,,,,,,,,,
1761,-2.53,-5.81,0.14,-41.45,-46.9,-38.42,2.57,-4.25,11.5,,,,-7.38,-9.15,-5.79,,,,,,,,,,,,,,,
1762,-2.63,-5.84,-0.01,-41.37,-46.74,-38.44,2.34,-4.36,11.23,,,,-7.33,-9.1,-5.73,,,,,,,,,,,,,,,
1763,-2.73,-5.88,-0.01,-41.29,-46.58,-38.46,2.1,-4.56,10.95,,,,-7.28,-9.05,-5.68,,,,,,,,,,,,,,,
1764,-2.83,-5.92,-0.15,-41.21,-46.41,-38.45,1.86,-4.75,10.64,,,,-7.24,-9.03,-5.63,,,,,,,,,,,,,,,
1765,-2.94,-5.95,-0.29,-41.13,-46.23,-38.42,1.62,-4.94,10.38,,,,-7.19,-9.02,-5.57,,,,,,,,,,,,,,,
1766,-3.05,-5.99,-0.44,-41.06,-45.65,-38.38,1.37,-5.3,10.05,,,,-7.15,-9.0,-5.51,,,,,,,,,,,,,,,
1767,-3.15,-6.08,-0.53,-40.98,-45.29,-38.5,1.12,-5.44,9.63,,,,-7.11,-9.0,-5.46,,,,,,,,,,,,,,,
1768,-3.26,-6.18,-0.61,-40.91,-45.08,-38.51,0.86,-5.55,9.21,,,,-7.06,-8.99,-5.41,,,,,,,,,,,,,,,
1769,-3.38,-6.09,-0.66,-40.83,-44.87,-38.52,0.6,-5.68,8.75,,,,-7.02,-8.97,-5.37,,,,,,,,,,,,,,,
1770,-3.49,-6.38,-0.72,-40.76,-44.8,-38.66,0.34,-5.91,8.19,,,,-6.98,-8.92,-5.33,,,,,,,,,,,,,,,
1771,-3.6,-6.49,-0.87,-40.69,-44.58,-38.67,0.08,-6.12,7.71,,,,-6.94,-8.88,-5.29,,,,,,,,,,,,,,,
1772,-3.72,-6.61,-0.95,-40.63,-44.36,-38.66,-0.19,-6.33,7.6,,,,-6.9,-8.84,-5.25,,,,,,,,,,,,,,,
1773,-3.83,-6.7,-1.05,-40.56,-44.13,-38.65,-0.45,-6.53,7.23,,,,-6.85,-8.79,-5.2,,,,,,,,,,,,,,,
1774,-3.95,-6.79,-1.16,-40.5,-43.91,-38.58,-0.71,-6.72,6.84,,,,-6.81,-8.74,-5.16,,,,,,,,,,,,,,,
1775,-4.07,-6.87,-1.3,-40.44,-43.69,-38.5,-0.98,-6.89,6.33,,,,-6.77,-8.71,-5.12,,,,,,,,,,,,,,,
1776,-4.19,-7.01,-1.48,-40.38,-43.47,-38.51,-1.24,-6.99,5.8,,,,-6.73,-8.67,-5.03,,,,,,,,,,,,,,,
1777,-4.32,-7.28,-1.67,-40.33,-43.26,-38.52,-1.5,-7.03,5.24,,,,-6.68,-8.64,-4.93,,,,,,,,,,,,,,,
1778,-4.45,-7.75,-1.82,-40.28,-43.05,-38.55,-1.75,-7.06,4.81,,,,-6.64,-8.61,-4.84,,,,,,,,,,,,,,,
1779,-4.57,-8.24,-2.02,-40.24,-42.85,-38.57,-2.0,-7.09,4.52,,,,-6.59,-8.58,-4.77,,,,,,,,,,,,,,,
1780,-4.71,-8.47,-2.11,-40.2,-42.68,-38.58,-2.24,-7.13,4.12,,,,-6.55,-8.56,-4.7,,,,,,,,,,,,,,,
1781,-4.84,-8.57,-2.17,-40.16,-42.51,-38.39,-2.47,-7.22,3.65,,,,-6.5,-8.52,-4.64,,,,,,,,,,,,,,,
1782,-4.97,-8.66,-2.23,-40.13,-42.36,-38.33,-2.7,-7.38,3.35,,,,-6.45,-8.49,-4.59,,,,,,,,,,,,,,,
1783,-5.1,-8.74,-2.31,-40.11,-42.25,-38.33,-2.91,-7.5,2.58,,,,-6.4,-8.46,-4.53,,,,,,,,,,,,,,,
1784,-5.24,-8.82,-2.4,-40.09,-42.13,-38.31,-3.11,-7.54,2.22,,,,-6.35,-8.43,-4.47,,,,,,,,,,,,,,,
1785,-5.37,-8.9,-2.51,-40.07,-42.01,-38.26,-3.3,-7.56,1.99,,,,-6.3,-8.39,-4.41,,,,,,,,,,,,,,,
1786,-5.51,-8.99,-2.64,-40.06,-41.89,-38.16,-3.48,-7.62,1.73,,,,-6.24,-8.37,-4.35,,,,,,,,,,,,,,,
1787,-5.64,-9.14,-2.84,-40.06,-41.8,-38.12,-3.64,-7.7,1.48,,,,-6.19,-8.33,-4.29,,,,,,,,,,,,,,,
1788,-5.77,-9.34,-2.97,-40.06,-41.77,-38.14,-3.79,-7.76,1.1,,,,-6.13,-8.3,-4.22,,,,,,,,,,,,,,,
1789,-5.91,-9.53,-3.05,-40.07,-41.75,-38.15,-3.92,-7.82,0.94,,,,-6.08,-8.26,-4.16,,,,,,,,,,,,,,,
1790,-6.04,-9.69,-3.1,-40.08,-41.74,-38.11,-4.04,-7.86,0.79,,,,-6.02,-8.22,-4.1,,,,,,,,,,,,,,,
1791,-6.17,-9.83,-3.15,-40.09,-41.75,-38.11,-4.14,-7.85,0.65,,,,-5.96,-8.17,-4.03,,,,,,,,,,,,,,,
1792,-6.29,-9.95,-3.22,-40.11,-41.78,-38.13,-4.23,-7.89,0.54,,,,-5.9,-8.13,-3.97,,,,,,,,,,,,,,,
1793,-6.42,-10.06,-3.28,-40.14,-41.8,-38.16,-4.31,-7.94,0.43,,,,-5.84,-8.09,-3.9,,,,,,,,,,,,,,,
1794,-6.54,-10.19,-3.38,-40.16,-41.83,-38.21,-4.37,-7.98,0.35,,,,-5.78,-8.03,-3.83,,,,,,,,,,,,,,,
1795,-6.66,-10.31,-3.49,-40.19,-41.87,-38.28,-4.42,-8.02,0.27,,,,-5.71,-7.97,-3.77,,,,,,,,,,,,,,,
1796,-6.78,-10.41,-3.6,-40.22,-41.9,-38.35,-4.45,-8.03,0.19,,,,-5.65,-7.92,-3.7,,,,,,,,,,,,,,,
1797,-6.89,-10.6,-3.72,-40.26,-41.94,-38.43,-4.48,-8.04,0.11,,,,-5.58,-7.86,-3.63,,,,,,,,,,,,,,,
1798,-7.0,-10.7,-3.83,-40.29,-41.95,-38.51,-4.49,-8.03,0.07,,,,-5.51,-7.78,-3.55,,,,,,,,,,,,,,,
1799,-7.11,-10.77,-3.94,-40.33,-42.0,-38.52,-4.5,-8.02,0.02,,,,-5.44,-7.71,-3.46,,,,,,,,,,,,,,,
1800,-7.22,-10.82,-4.08,-40.36,-42.06,-38.54,-4.49,-7.98,0.0,,,,-5.37,-7.58,-3.4,,,,,,,,,,,,,,,
1801,-7.32,-10.88,-4.21,-40.4,-42.17,-38.48,-4.48,-7.95,-0.02,,,,-5.3,-7.49,-3.32,,,,,,,,,,,,,,,
1802,-7.42,-10.98,-4.25,-40.43,-42.18,-38.5,-4.46,-7.95,-0.03,,,,-5.22,-7.42,-3.26,,,,,,,,,,,,,,,
1803,-7.52,-11.07,-4.29,-40.47,-42.18,-38.52,-4.44,-7.98,-0.06,,,,-5.15,-7.33,-3.14,,,,,,,,,,,,,,,
1804,-7.62,-10.96,-4.32,-40.5,-42.23,-38.53,-4.41,-7.97,-0.06,,,,-5.07,-7.25,-2.92,,,,,,,,,,,,,,,
1805,-7.71,-11.38,-4.36,-40.54,-42.3,-38.55,-4.38,-7.96,-0.06,,,,-4.99,-7.19,-2.71,,,,,,,,,,,,,,,
1806,-7.81,-11.52,-4.39,-40.58,-42.32,-38.57,-4.35,-7.92,-0.05,,,,-4.91,-7.16,-2.52,,,,,,,,,,,,,,,
1807,-7.9,-11.66,-4.42,-40.61,-42.33,-38.6,-4.32,-7.89,-0.06,,,,-4.83,-7.13,-2.41,,,,,,,,,,,,,,,
1808,-7.99,-11.73,-4.46,-40.65,-42.35,-38.65,-4.29,-7.9,-0.09,,,,-4.75,-7.05,-2.34,,,,,,,,,,,,,,,
1809,-8.08,-11.83,-4.49,-40.69,-42.38,-38.7,-4.25,-7.9,-0.13,,,,-4.67,-6.89,-2.28,,,,,,,,,,,,,,,
1810,-8.17,-11.92,-4.52,-40.72,-42.41,-38.76,-4.22,-7.98,-0.16,,,,-4.58,-6.86,-2.22,,,,,,,,,,,,,,,
1811,-8.26,-12.03,-4.56,-40.76,-42.42,-38.83,-4.19,-8.04,-0.16,,,,-4.5,-6.79,-2.15,,,,,,,,,,,,,,,
1812,-8.35,-12.14,-4.59,-40.79,-42.46,-38.88,-4.16,-8.13,-0.18,,,,-4.42,-6.7,-2.05,,,,,,,,,,,,,,,
1813,-8.43,-12.24,-4.62,-40.82,-42.48,-38.94,-4.13,-8.13,-0.19,,,,-4.33,-6.59,-1.97,,,,,,,,,,,,,,,
1814,-8.52,-12.34,-4.7,-40.86,-42.5,-39.02,-4.1,-8.13,-0.22,,,,-4.25,-6.51,-1.82,,,,,,,,,,,,,,,
1815,-8.6,-12.43,-4.79,-40.89,-42.52,-39.08,-4.07,-8.14,-0.25,,,,-4.16,-6.42,-1.67,,,,,,,,,,,,,,,
1816,-8.69,-12.51,-4.85,-40.92,-42.54,-39.16,-4.05,-8.15,-0.28,,,,-4.08,-6.33,-1.53,,,,,,,,,,,,,,,
1817,-8.77,-12.59,-4.91,-40.95,-42.54,-39.24,-4.02,-8.15,-0.3,,,,-4.0,-6.23,-1.38,,,,,,,,,,,,,,,
1818,-8.85,-12.67,-4.98,-40.98,-42.5,-39.3,-3.99,-8.15,-0.33,,,,-3.92,-6.2,-1.22,,,,,,,,,,,,,,,
1819,-8.93,-12.73,-5.07,-41.01,-42.45,-39.36,-3.97,-8.15,-0.36,,,,-3.84,-6.15,-1.03,,,,,,,,,,,,,,,
1820,-9.01,-12.8,-5.18,-41.04,-42.41,-39.41,-3.95,-8.15,-0.39,,,,-3.76,-6.15,-0.88,,,,,,,,,,,,,,,
1821,-9.09,-12.86,-5.23,-41.07,-42.42,-39.46,-3.92,-8.14,-0.37,,,,-3.68,-6.15,-0.77,,,,,,,,,,,,,,,
1822,-9.16,-12.92,-5.3,-41.09,-42.42,-39.5,-3.9,-8.14,-0.34,,,,-3.6,-6.15,-0.67,,,,,,,,,,,,,,,
1823,-9.24,-12.96,-5.37,-41.12,-42.43,-39.55,-3.88,-8.14,-0.33,,,,-3.53,-6.15,-0.51,,,,,,,,,,,,,,,
1824,-9.31,-13.0,-5.46,-41.14,-42.43,-39.58,-3.87,-8.14,-0.32,,,,-3.45,-6.15,-0.37,,,,,,,,,,,,,,,
1825,-9.38,-13.05,-5.55,-41.17,-42.43,-39.63,-3.85,-8.15,-0.31,,,,-3.38,-6.15,-0.28,,,,,,,,,,,,,,,
1826,-9.46,-13.06,-5.64,-41.19,-42.43,-39.66,-3.84,-8.16,-0.32,,,,-3.3,-6.16,-0.19,,,,,,,,,,,,,,,
1827,-9.53,-13.09,-5.74,-41.21,-42.43,-39.68,-3.83,-7.98,-0.65,,,,-3.23,-6.18,-0.12,,,,,,,,,,,,,,,
1828,-9.6,-13.1,-5.84,-41.23,-42.42,-39.71,-3.82,-7.97,-0.61,,,,-3.16,-6.16,-0.1,,,,,,,,,,,,,,,
1829,-9.67,-13.11,-5.94,-41.25,-42.33,-39.75,-3.81,-7.97,-0.57,,,,-3.09,-6.21,-0.07,,,,,,,,,,,,,,,
1830,-9.74,-13.11,-6.04,-41.27,-42.45,-39.82,-3.8,-7.96,-0.53,,,,-3.02,-6.25,0.05,,,,,,,,,,,,,,,
1831,-9.81,-13.12,-6.13,-41.29,-42.46,-39.86,-3.8,-7.96,-0.49,,,,-2.96,-6.28,0.18,,,,,,,,,,,,,,,
1832,-9.88,-13.12,-6.32,-41.3,-42.48,-39.89,-3.8,-7.95,-0.45,,,,-2.89,-6.3,0.3,,,,,,,,,,,,,,,
1833,-9.95,-13.14,-6.08,-41.32,-42.49,-39.92,-3.8,-7.96,-0.41,,,,-2.82,-6.33,0.46,,,,,,,,,,,,,,,
1834,-10.02,-13.14,-6.1,-41.34,-42.49,-39.95,-3.8,-7.98,-0.36,,,,-2.76,-6.34,0.67,,,,,,,,,,,,,,,
1835,-10.1,-13.15,-6.12,-41.35,-42.48,-39.98,-3.81,-7.99,-0.32,,,,-2.69,-6.34,0.82,,,,,,,,,,,,,,,
1836,-10.17,-13.16,-6.15,-41.37,-42.48,-40.03,-3.81,-8.01,-0.29,,,,-2.63,-6.34,0.9,,,,,,,,,,,,,,,
1837,-10.25,-13.17,-6.22,-41.38,-42.48,-40.08,-3.82,-8.04,-0.23,,,,-2.57,-6.36,0.95,,,,,,,,,,,,,,,
1838,-10.33,-13.19,-6.32,-41.4,-42.5,-40.13,-3.83,-8.08,-0.13,,,,-2.51,-6.36,1.0,,,,,,,,,,,,,,,
1839,-10.41,-13.2,-6.47,-41.41,-42.5,-40.16,-3.84,-8.06,-0.05,,,,-2.45,-6.37,1.14,,,,,,,,,,,,,,,
1840,-10.49,-13.22,-6.6,-41.43,-42.5,-40.16,-3.85,-8.05,-0.02,,,,-2.4,-6.38,1.24,,,,,,,,,,,,,,,
1841,-10.58,-13.23,-6.74,-41.44,-42.5,-40.17,-3.86,-8.04,-0.01,,,,-2.34,-6.4,1.4,,,,,,,,,,,,,,,
1842,-10.67,-13.25,-6.98,-41.45,-42.55,-40.2,-3.87,-8.02,-0.01,,,,-2.29,-6.42,1.49,,,,,,,,,,,,,,,
1843,-10.76,-13.28,-7.17,-41.47,-42.6,-40.22,-3.89,-8.01,-0.01,,,,-2.24,-6.44,1.61,,,,,,,,,,,,,,,
1844,-10.85,-13.3,-7.37,-41.48,-42.64,-40.23,-3.9,-8.0,-0.01,,,,-2.19,-6.46,1.74,,,,,,,,,,,,,,,
1845,-10.94,-13.34,-7.57,-41.49,-42.66,-40.23,-3.92,-8.01,-0.0,,,,-2.14,-6.48,1.85,,,,,,,,,,,,,,,
1846,-11.04,-13.38,-7.7,-41.5,-42.67,-40.25,-3.94,-8.03,-0.0,,,,-2.09,-6.47,1.98,,,,,,,,,,,,,,,
1847,-11.13,-13.41,-7.92,-41.51,-42.69,-40.26,-3.96,-8.04,0.0,,,,-2.05,-6.45,2.08,,,,,,,,,,,,,,,
1848,-11.23,-13.45,-8.03,-41.52,-42.72,-40.3,-3.97,-8.05,0.0,,,,-2.01,-6.42,2.18,,,,,,,,,,,,,,,
1849,-11.33,-13.57,-8.16,-41.53,-42.74,-40.31,-3.99,-8.06,0.0,,,,-1.97,-6.39,2.28,,,,,,,,,,,,,,,
1850,-11.43,-13.62,-8.3,-41.54,-42.77,-40.33,-4.01,-8.08,0.0,,,,-1.93,-6.35,2.37,,,,,,,,,,,,,,,
1851,-11.53,-13.7,-8.44,-41.55,-42.79,-40.33,-4.03,-8.09,0.0,,,,-1.89,-6.27,2.46,,,,,,,,,,,,,,,
1852,-11.63,-13.8,-8.57,-41.56,-42.81,-40.34,-4.05,-8.1,-0.0,,,,-1.86,-6.26,2.54,,,,,,,,,,,,,,,
1853,-11.73,-13.9,-8.75,-41.57,-42.84,-40.35,-4.06,-8.11,-0.0,,,,-1.82,-6.29,2.62,,,,,,,,,,,,,,,
1854,-11.83,-13.97,-8.87,-41.58,-42.87,-40.35,-4.08,-8.12,-0.0,,,,-1.79,-6.28,2.7,,,,,,,,,,,,,,,
1855,-11.93,-14.02,-9.09,-41.59,-42.89,-40.34,-4.1,-8.0,0.0,,,,-1.75,-6.27,2.85,,,,,,,,,,,,,,,
1856,-12.03,-14.16,-9.43,-41.59,-42.91,-40.33,-4.11,-8.07,0.0,,,,-1.71,-6.3,2.94,,,,,,,,,,,,,,,
1857,-12.13,-14.22,-9.55,-41.6,-42.94,-40.32,-4.12,-8.17,0.0,,,,-1.67,-6.4,3.03,,,,,,,,,,,,,,,
1858,-12.22,-14.29,-9.69,-41.61,-42.96,-40.36,-4.13,-8.27,0.0,,,,-1.63,-6.45,3.11,,,,,,,,,,,,,,,
1859,-12.32,-14.35,-9.83,-41.62,-42.97,-40.44,-4.14,-8.4,-0.0,,,,-1.59,-6.45,3.2,,,,,,,,,,,,,,,
1860,-12.41,-14.39,-9.98,-41.63,-42.98,-40.44,-4.15,-8.52,0.0,,,,-1.54,-6.5,3.3,,,,,,,,,,,,,,,
1861,-12.51,-14.64,-9.89,-41.64,-43.04,-39.97,-4.15,-8.62,0.0,,,,-1.5,-6.53,3.43,,,,,,,,,,,,,,,
1862,-12.6,-14.71,-10.09,-41.65,-43.06,-39.95,-4.16,-8.63,0.0,,,,-1.45,-6.54,3.48,,,,,,,,,,,,,,,
1863,-12.69,-14.78,-10.33,-41.66,-43.09,-39.93,-4.16,-8.64,0.0,,,,-1.39,-6.55,3.57,,,,,,,,,,,,,,,
1864,-12.78,-14.85,-10.58,-41.67,-43.11,-39.91,-4.16,-8.68,0.0,,,,-1.34,-6.55,3.66,,,,,,,,,,,,,,,
1865,-12.86,-14.91,-10.76,-41.68,-43.13,-39.89,-4.16,-8.73,0.0,,,,-1.28,-6.57,3.72,,,,,,,,,,,,,,,
1866,-12.95,-14.98,-10.9,-41.7,-43.16,-39.86,-4.15,-8.77,0.0,,,,-1.22,-6.58,3.87,,,,,,,,,,,,,,,
1867,-13.04,-15.05,-11.01,-41.71,-43.21,-39.84,-4.15,-8.75,0.0,,,,-1.16,-6.58,4.04,,,,,,,,,,,,,,,
1868,-13.12,-15.01,-11.32,-41.73,-43.23,-39.82,-4.15,-8.74,0.0,,,,-1.09,-6.59,4.26,,,,,,,,,,,,,,,
1869,-13.21,-15.04,-11.46,-41.75,-43.25,-39.81,-4.14,-8.78,0.0,,,,-1.03,-6.63,4.47,,,,,,,,,,,,,,,
1870,-13.29,-15.07,-11.59,-41.76,-43.26,-39.8,-4.13,-8.93,0.0,,,,-0.96,-6.66,4.67,,,,,,,,,,,,,,,
1871,-13.38,-15.11,-11.71,-41.78,-43.28,-39.81,-4.12,-8.94,0.01,,,,-0.9,-6.71,4.87,,,,,,,,,,,,,,,
1872,-13.46,-15.17,-11.85,-41.8,-43.31,-39.81,-4.11,-8.89,0.01,,,,-0.83,-6.75,5.05,,,,,,,,,,,,,,,
1873,-13.54,-15.37,-11.98,-41.83,-43.35,-39.84,-4.1,-8.9,0.01,,,,-0.77,-6.68,5.18,,,,,,,,,,,,,,,
1874,-13.62,-15.46,-12.14,-41.85,-43.39,-39.87,-4.09,-8.96,0.01,,,,-0.71,-6.71,5.3,,,,,,,,,,,,,,,
1875,-13.7,-15.51,-12.3,-41.87,-43.41,-39.93,-4.08,-8.91,0.01,,,,-0.65,-6.74,5.47,,,,,,,,,,,,,,,
1876,-13.77,-15.55,-12.41,-41.9,-43.43,-39.97,-4.07,-8.86,0.01,,,,-0.6,-6.77,5.67,,,,,,,,,,,,,,,
1877,-13.84,-15.61,-12.48,-41.92,-43.47,-40.08,-4.05,-8.81,0.01,,,,-0.56,-6.77,5.86,,,,,,,,,,,,,,,
1878,-13.92,-15.69,-12.6,-41.95,-43.51,-40.15,-4.04,-8.77,-0.02,,,,-0.53,-6.77,5.99,,,,,,,,,,,,,,,
1879,-13.99,-15.76,-12.75,-41.98,-43.57,-40.11,-4.02,-8.73,-0.08,,,,-0.51,-6.77,6.12,,,,,,,,,,,,,,,
1880,-14.05,-15.82,-12.85,-42.0,-43.61,-40.08,-4.01,-8.69,-0.14,,,,-0.5,-6.83,6.04,,,,,,,,,,,,,,,
1881,-14.11,-15.86,-12.93,-42.03,-43.64,-40.05,-4.0,-8.64,-0.18,,,,-0.5,-6.91,6.08,,,,,,,,,,,,,,,
1882,-14.18,-15.91,-12.98,-42.06,-43.67,-40.01,-3.98,-8.6,-0.21,,,,-0.52,-6.93,6.19,,,,,,,,,,,,,,,
1883,-14.23,-15.95,-13.1,-42.09,-43.72,-40.05,-3.97,-8.55,-0.24,,,,-0.54,-6.99,6.27,,,,,,,,,,,,,,,
1884,-14.29,-15.99,-13.14,-42.12,-43.75,-40.1,-3.96,-8.51,-0.28,,,,-0.58,-7.22,6.32,,,,,,,,,,,,,,,
1885,-14.34,-16.03,-13.18,-42.14,-43.79,-40.16,-3.95,-8.46,-0.31,,,,-0.63,-7.29,6.27,,,,,,,,,,,,,,,
1886,-14.39,-16.07,-13.19,-42.17,-43.82,-40.17,-3.94,-7.98,-0.49,,,,-0.7,-7.32,6.19,,,,,,,,,,,,,,,
1887,-14.43,-16.11,-13.21,-42.2,-43.87,-40.19,-3.94,-7.94,-0.51,,,,-0.77,-7.29,6.11,,,,,,,,,,,,,,,
1888,-14.48,-16.13,-13.27,-42.23,-43.9,-40.2,-3.93,-8.15,-0.14,,,,-0.85,-7.54,6.21,,,,,,,,,,,,,,,
1889,-14.52,-16.18,-13.28,-42.26,-43.94,-40.21,-3.93,-8.04,-0.18,,,,-0.94,-7.88,6.31,,,,,,,,,,,,,,,
1890,-14.55,-16.23,-13.3,-42.29,-44.0,-40.23,-3.93,-8.0,-0.23,,,,-1.04,-8.1,6.42,,,,,,,,,,,,,,,
1891,-14.59,-16.27,-13.31,-42.31,-44.06,-40.0,-3.94,-8.0,-0.26,,,,-1.15,-8.19,6.18,,,,,,,,,,,,,,,
1892,-14.62,-16.29,-13.32,-42.34,-44.11,-39.99,-3.94,-8.0,-0.29,,,,-1.26,-8.49,6.31,,,,,,,,,,,,,,,
1893,-14.66,-16.31,-13.33,-42.37,-44.17,-39.99,-3.95,-8.0,-0.3,,,,-1.38,-8.85,6.47,,,,,,,,,,,,,,,
