date,pollster,Thatcher approve,Thatcher disapprove,Thatcher net,Major approve,Major disapprove,Major net,Blair approve,Blair disapprove,Blair net,Brown approve,Brown disapprove,Brown net,Cameron approve,Cameron disapprove,Cameron net,May approve,May disapprove,May net,Johnson approve,Johnson disapprove,Johnson net,Truss approve,Truss disapprove,Truss net,Sunak approve,Sunak disapprove,Sunak net,Starmer approve,Starmer disapprove,Starmer net
1982-11-10,Gallup,44.0,52.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-08,Gallup,44.0,53.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-01-12,Gallup,49.0,45.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-02-09,Gallup,45.0,50.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-03-17,Gallup,47.0,48.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-04-07,Gallup,44.0,50.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-05-04,Gallup,50.0,46.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-05-31,Gallup,48.0,48.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-07-07,Gallup,52.0,44.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-08-10,Gallup,51.0,46.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-09-07,Gallup,53.0,43.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-10-19,Gallup,48.0,47.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-11-09,Gallup,49.0,47.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-07,Gallup,47.0,48.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-01-11,Gallup,49.0,46.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-02-08,Gallup,48.0,48.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-15,Gallup,46.0,52.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-04-11,Gallup,46.0,50.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-05-09,Gallup,41.0,54.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-06,Gallup,41.0,54.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-07-11,Gallup,41.0,55.0,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-08,Gallup,39.0,56.0,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-05,Gallup,40.0,56.0,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-17,Gallup,50.0,44.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-07,Gallup,48.0,48.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-06,Gallup,43.0,52.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-09,Gallup,40.0,54.0,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-06,Gallup,37.0,57.0,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-21,Gallup,37.0,58.0,-21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-17,Gallup,38.0,57.0,-19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-08,Gallup,36.0,59.0,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-12,Gallup,38.0,56.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-10,Gallup,34.0,60.0,-26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-08-07,Gallup,30.0,65.0,-35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-09-11,Gallup,35.0,60.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-10-16,Gallup,33.0,62.0,-29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-11-06,Gallup,36.0,58.0,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-04,Gallup,39.0,56.0,-17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-01-08,Gallup,31.0,64.0,-33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-02-05,Gallup,29.0,67.0,-38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-03-20,Gallup,33.0,63.0,-30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-04-09,Gallup,28.0,67.0,-39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-05-08,Gallup,31.0,63.0,-32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-11,Gallup,30.0,66.0,-36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-07-09,Gallup,34.0,61.0,-27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-08-06,Gallup,28.0,66.0,-38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-09-10,Gallup,35.0,60.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-10-16,Gallup,36.0,59.0,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-11-12,Gallup,36.0,59.0,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-10,Gallup,38.0,57.0,-19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-14,Gallup,35.0,61.0,-26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-02-11,Gallup,35.0,58.0,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-03-20,Gallup,39.0,54.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-04-08,Gallup,43.0,50.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-05-07,Gallup,44.0,52.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-08,Gallup,41.0,56.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-07-08,Gallup,47.0,48.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-12,Gallup,46.0,50.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-03,Gallup,46.0,51.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-10-14,Gallup,52.0,44.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-11-11,Gallup,47.0,48.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-02,Gallup,47.0,49.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-01-13,Gallup,48.0,48.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-02-11,Gallup,45.0,51.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-03-17,Gallup,42.0,53.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-04-13,Gallup,40.0,56.0,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-05-11,Gallup,43.0,52.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-06-09,Gallup,42.0,53.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-07-13,Gallup,42.0,54.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-08-10,Gallup,45.0,49.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-07,Gallup,45.0,50.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-10-19,Gallup,48.0,47.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-11-08,Gallup,45.0,50.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-06,Gallup,44.0,50.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-01-12,Gallup,43.0,51.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-02-09,Gallup,40.0,53.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-03-29,Gallup,41.0,54.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-04-27,Gallup,42.0,52.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-05-31,Gallup,40.0,54.0,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-06-28,Gallup,37.0,58.0,-21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-08-02,Gallup,34.0,62.0,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-08-31,Gallup,36.0,59.0,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-10-25,Gallup,35.0,60.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-11-29,Gallup,29.0,66.0,-37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-05,Gallup,33.0,61.0,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-20,Gallup,31.0,64.0,-33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-28,Gallup,26.0,71.0,-45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-20,NOP,20.0,66.0,-46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-25,Gallup,20.0,75.0,-55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-03,G9000,26.0,69.0,-43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-19,NOP,25.0,63.0,-38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-30,Gallup,27.0,69.0,-42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-01,G9000,28.0,67.0,-39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-16,NOP,26.0,60.0,-34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-27,Gallup,23.0,73.0,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-07-01,G9000,30.0,65.0,-35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-07-14,NOP,29.0,57.0,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-07-24,Gallup,30.0,64.0,-34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-08-01,G9000,32.0,63.0,-31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-08-11,NOP,34.0,54.0,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-08-29,Gallup,32.0,63.0,-31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-09-22,NOP,32.0,54.0,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-09-26,Gallup,31.0,64.0,-33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-09-29,G9000,33.0,62.0,-29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-10-03,G9000,32.0,63.0,-31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-10-20,NOP,30.0,58.0,-28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-10-24,Gallup,35.0,57.0,-22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-11-17,Gallup,29.0,66.0,-37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-11-17,NOP,25.0,63.0,-38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-01,G9000,,,,49.0,28.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-01,Gallup,,,,51.0,29.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-08,NOP,,,,39.0,15.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-01,Gallup,,,,41.0,24.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-04,G9000,,,,50.0,21.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-12,NOP,,,,48.0,15.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-02-01,G9000,,,,59.0,20.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-02-01,Gallup,,,,58.0,21.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-02-09,NOP,,,,61.0,14.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-03-01,G9000,,,,57.0,25.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-03-01,Gallup,,,,59.0,23.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-03-09,NOP,,,,59.0,19.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-01,Gallup,,,,53.0,28.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-03,G9000,,,,54.0,29.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-20,NOP,,,,56.0,21.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-05-01,G9000,,,,50.0,35.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-05-01,Gallup,,,,53.0,32.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-05-18,NOP,,,,50.0,27.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-06-01,G9000,,,,48.0,36.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-06-01,Gallup,,,,51.0,32.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-06-15,NOP,,,,49.0,29.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-07-01,Gallup,,,,51.0,35.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-07-02,G9000,,,,50.0,35.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-07-13,NOP,,,,50.0,27.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-08-01,Gallup,,,,46.0,38.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-08-30,G9000,,,,52.0,35.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-09-01,Gallup,,,,55.0,32.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-09-02,G9000,,,,54.0,33.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-10-01,Gallup,,,,49.0,38.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-10-02,G9000,,,,52.0,36.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-11-01,G9000,,,,50.0,39.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-11-01,Gallup,,,,47.0,41.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-01,Gallup,,,,52.0,43.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-04,G9000,,,,50.0,40.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,Gallup,,,,46.0,41.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-03,G9000,,,,48.0,41.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-29,G9000,,,,49.0,42.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-02-01,Gallup,,,,50.0,48.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-02-07,NOP,,,,56.0,24.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-03-01,Gallup,,,,53.0,50.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-03-03,G9000,,,,46.0,45.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-03-11,NOP,,,,57.0,30.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-04-01,Gallup,,,,42.0,37.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-05-01,Gallup,,,,53.0,41.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-06-01,Gallup,,,,52.0,38.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-07-01,Gallup,,,,53.0,46.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-08-01,Gallup,,,,45.0,44.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-09-01,Gallup,,,,47.0,65.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-10-01,Gallup,,,,28.0,69.0,-41.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-11-01,Gallup,,,,22.0,68.0,-46.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-01,Gallup,,,,24.0,71.0,-47.0,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-01,Gallup,,,,33.0,62.0,-29.0,,,,,,,,,,,,,,,,,,,,,,,,
1993-02-01,Gallup,,,,33.0,60.0,-27.0,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-01,Gallup,,,,29.0,64.0,-35.0,,,,,,,,,,,,,,,,,,,,,,,,
1993-05-01,Gallup,,,,26.0,69.0,-43.0,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-01,Gallup,,,,28.0,66.0,-38.0,,,,,,,,,,,,,,,,,,,,,,,,
1993-07-01,Gallup,,,,21.0,73.0,-52.0,,,,,,,,,,,,,,,,,,,,,,,,
1993-08-01,Gallup,,,,19.0,76.0,-57.0,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-01,Gallup,,,,20.0,73.0,-53.0,,,,,,,,,,,,,,,,,,,,,,,,
1993-10-01,Gallup,,,,21.0,71.0,-50.0,,,,,,,,,,,,,,,,,,,,,,,,
1993-11-01,Gallup,,,,22.0,70.0,-48.0,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-01,Gallup,,,,24.0,71.0,-47.0,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-01,Gallup,,,,24.0,71.0,-47.0,,,,,,,,,,,,,,,,,,,,,,,,
1994-02-01,Gallup,,,,22.0,72.0,-50.0,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-01,Gallup,,,,20.0,73.0,-53.0,,,,,,,,,,,,,,,,,,,,,,,,
1994-04-01,Gallup,,,,22.0,73.0,-51.0,,,,,,,,,,,,,,,,,,,,,,,,
1994-05-01,Gallup,,,,21.0,73.0,-52.0,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-01,Gallup,,,,20.0,75.0,-55.0,,,,,,,,,,,,,,,,,,,,,,,,
1994-07-01,Gallup,,,,20.0,73.0,-53.0,,,,,,,,,,,,,,,,,,,,,,,,
1994-08-01,Gallup,,,,23.0,71.0,-48.0,,,,,,,,,,,,,,,,,,,,,,,,
1994-09-01,Gallup,,,,19.0,76.0,-57.0,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-01,Gallup,,,,19.0,76.0,-57.0,,,,,,,,,,,,,,,,,,,,,,,,
1994-11-01,Gallup,,,,23.0,71.0,-48.0,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-01,Gallup,,,,18.0,74.0,-56.0,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-01,Gallup,,,,23.0,70.0,-47.0,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-01,Gallup,,,,19.0,75.0,-56.0,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-01,Gallup,,,,15.0,78.0,-63.0,,,,,,,,,,,,,,,,,,,,,,,,
1995-04-01,Gallup,,,,17.0,76.0,-59.0,,,,,,,,,,,,,,,,,,,,,,,,
1995-05-01,Gallup,,,,19.0,76.0,-57.0,,,,,,,,,,,,,,,,,,,,,,,,
1995-06-01,Gallup,,,,21.0,72.0,-51.0,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-01,Gallup,,,,21.0,73.0,-52.0,,,,,,,,,,,,,,,,,,,,,,,,
1995-08-01,Gallup,,,,20.0,74.0,-54.0,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-01,Gallup,,,,27.0,67.0,-40.0,,,,,,,,,,,,,,,,,,,,,,,,
1995-10-01,Gallup,,,,28.0,65.0,-37.0,,,,,,,,,,,,,,,,,,,,,,,,
1995-11-01,Gallup,,,,26.0,67.0,-41.0,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-01,Gallup,,,,25.0,67.0,-42.0,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,Gallup,,,,25.0,68.0,-43.0,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-01,Gallup,,,,27.0,66.0,-39.0,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-01,Gallup,,,,25.0,69.0,-44.0,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-01,Gallup,,,,23.0,69.0,-46.0,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-01,Gallup,,,,24.0,70.0,-46.0,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-01,Gallup,,,,23.0,70.0,-47.0,,,,,,,,,,,,,,,,,,,,,,,,
1996-07-01,Gallup,,,,23.0,69.0,-46.0,,,,,,,,,,,,,,,,,,,,,,,,
1996-08-01,Gallup,,,,23.0,69.0,-46.0,,,,,,,,,,,,,,,,,,,,,,,,
1996-09-01,Gallup,,,,26.0,66.0,-40.0,,,,,,,,,,,,,,,,,,,,,,,,
1996-10-01,Gallup,,,,25.0,69.0,-44.0,,,,,,,,,,,,,,,,,,,,,,,,
1996-11-01,Gallup,,,,28.0,65.0,-37.0,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-01,Gallup,,,,27.0,66.0,-39.0,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-01,Gallup,,,,30.0,62.0,-32.0,,,,,,,,,,,,,,,,,,,,,,,,
1997-02-01,Gallup,,,,25.0,67.0,-42.0,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-01,Gallup,,,,33.0,62.0,-29.0,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-01,Gallup,,,,33.0,59.0,-26.0,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-01,Ipsos,,,,,,,65.0,5.0,60.0,,,,,,,,,,,,,,,,,,,,,
1997-06-01,Ipsos,,,,,,,72.0,7.0,65.0,,,,,,,,,,,,,,,,,,,,,
1997-07-01,Ipsos,,,,,,,70.0,11.0,59.0,,,,,,,,,,,,,,,,,,,,,
1997-08-01,Ipsos,,,,,,,65.0,19.0,46.0,,,,,,,,,,,,,,,,,,,,,
1997-09-01,Ipsos,,,,,,,75.0,13.0,62.0,,,,,,,,,,,,,,,,,,,,,
1997-10-01,Ipsos,,,,,,,72.0,15.0,57.0,,,,,,,,,,,,,,,,,,,,,
1997-11-01,Ipsos,,,,,,,70.0,20.0,50.0,,,,,,,,,,,,,,,,,,,,,
1997-12-01,Ipsos,,,,,,,61.0,27.0,34.0,,,,,,,,,,,,,,,,,,,,,
1998-01-01,Ipsos,,,,,,,60.0,29.0,31.0,,,,,,,,,,,,,,,,,,,,,
1998-02-01,Ipsos,,,,,,,60.0,31.0,29.0,,,,,,,,,,,,,,,,,,,,,
1998-03-01,Ipsos,,,,,,,62.0,28.0,34.0,,,,,,,,,,,,,,,,,,,,,
