date,Thatcher approve,Thatcher disapprove,Thatcher net,Major approve,Major disapprove,Major net,Blair approve,Blair disapprove,Blair net,Brown approve,Brown disapprove,Brown net,Cameron approve,Cameron disapprove,Cameron net,May approve,May disapprove,May net,Johnson approve,Johnson disapprove,Johnson net,Truss approve,Truss disapprove,Truss net,Sunak approve,Sunak disapprove,Sunak net,Starmer approve,Starmer disapprove,Starmer net
1979-12-26,41.64,50.54,-8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-02,41.5,50.83,-9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-09,41.36,51.11,-9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-16,41.23,51.38,-10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-23,41.11,51.64,-10.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-30,41.0,51.88,-10.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-02-06,40.9,52.1,-11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-02-13,40.8,52.31,-11.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-02-20,40.72,52.5,-11.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-02-27,40.64,52.67,-12.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-05,40.58,52.82,-12.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-12,40.54,52.95,-12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-19,40.51,53.05,-12.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-26,40.5,53.14,-12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-04-02,40.5,53.21,-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-04-09,40.52,53.26,-12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-04-16,40.54,53.31,-12.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-04-23,40.57,53.35,-12.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-04-30,40.61,53.37,-12.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-05-07,40.64,53.39,-12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-05-14,40.68,53.42,-12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-05-21,40.7,53.45,-12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-05-28,40.71,53.48,-12.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-06-04,40.71,53.52,-12.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-06-11,40.69,53.58,-12.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-06-18,40.65,53.65,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-06-25,40.59,53.73,-13.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-07-02,40.5,53.83,-13.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-07-09,40.39,53.95,-13.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-07-16,40.26,54.08,-13.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-07-23,40.1,54.23,-14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-07-30,39.92,54.39,-14.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-08-06,39.72,54.58,-14.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-08-13,39.49,54.78,-15.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-08-20,39.24,55.01,-15.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-08-27,38.97,55.26,-16.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-09-03,38.69,55.52,-16.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-09-10,38.39,55.81,-17.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-09-17,38.08,56.1,-18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-09-24,37.76,56.4,-18.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-10-01,37.44,56.71,-19.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-10-08,37.12,57.03,-19.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-10-15,36.79,57.35,-20.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-10-22,36.47,57.68,-21.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-10-29,36.14,58.0,-21.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-11-05,35.83,58.33,-22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-11-12,35.52,58.64,-23.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-11-19,35.21,58.96,-23.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-11-26,34.92,59.27,-24.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-03,34.65,59.58,-24.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-10,34.4,59.87,-25.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-17,34.16,60.15,-26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-24,33.94,60.42,-26.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,33.73,60.68,-26.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-07,33.55,60.92,-27.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-14,33.38,61.14,-27.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-21,33.23,61.36,-28.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-28,33.09,61.56,-28.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-02-04,32.96,61.75,-28.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-02-11,32.84,61.93,-29.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-02-18,32.73,62.1,-29.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-02-25,32.62,62.26,-29.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-03-04,32.51,62.42,-29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-03-11,32.4,62.57,-30.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-03-18,32.29,62.72,-30.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-03-25,32.18,62.87,-30.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-04-01,32.07,63.0,-30.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-04-08,31.97,63.13,-31.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-04-15,31.87,63.24,-31.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-04-22,31.78,63.34,-31.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-04-29,31.69,63.44,-31.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-05-06,31.62,63.52,-31.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-05-13,31.56,63.6,-32.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-05-20,31.51,63.65,-32.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-05-27,31.47,63.7,-32.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-03,31.44,63.74,-32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-10,31.41,63.77,-32.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-17,31.38,63.79,-32.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-24,31.34,63.82,-32.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-07-01,31.29,63.85,-32.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-07-08,31.23,63.89,-32.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-07-15,31.16,63.93,-32.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-07-22,31.07,63.98,-32.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-07-29,30.97,64.04,-33.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-08-05,30.87,64.1,-33.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-08-12,30.76,64.17,-33.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-08-19,30.64,64.24,-33.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-08-26,30.51,64.32,-33.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-09-02,30.39,64.41,-34.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-09-09,30.26,64.51,-34.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-09-16,30.15,64.6,-34.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-09-23,30.04,64.69,-34.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-09-30,29.95,64.78,-34.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-10-07,29.89,64.85,-34.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-10-14,29.84,64.92,-35.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-10-21,29.83,64.97,-35.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-10-28,29.84,65.0,-35.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-11-04,29.88,65.0,-35.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-11-11,29.94,64.99,-35.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-11-18,30.03,64.94,-34.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-11-25,30.14,64.87,-34.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-02,30.29,64.76,-34.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-09,30.47,64.62,-34.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-16,30.66,64.46,-33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-23,30.88,64.28,-33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-30,31.13,64.05,-32.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-06,31.42,63.79,-32.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-13,31.75,63.49,-31.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-20,32.12,63.14,-31.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-27,32.54,62.74,-30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-02-03,33.01,62.29,-29.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-02-10,33.52,61.8,-28.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-02-17,34.07,61.26,-27.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-02-24,34.65,60.69,-26.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-03-03,35.27,60.07,-24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-03-10,35.93,59.43,-23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-03-17,36.61,58.76,-22.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-03-24,37.3,58.07,-20.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-03-31,38.01,57.36,-19.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-04-07,38.73,56.65,-17.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-04-14,39.43,55.95,-16.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-04-21,40.11,55.26,-15.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-04-28,40.76,54.6,-13.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-05-05,41.39,53.96,-12.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-05-12,41.99,53.34,-11.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-05-19,42.57,52.75,-10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-05-26,43.13,52.18,-9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-06-02,43.67,51.63,-7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-06-09,44.18,51.11,-6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-06-16,44.68,50.61,-5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-06-23,45.16,50.15,-4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-06-30,45.59,49.72,-4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-07-07,45.98,49.35,-3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-07-14,46.33,49.03,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-07-21,46.63,48.76,-2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-07-28,46.88,48.54,-1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-08-04,47.09,48.36,-1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-08-11,47.25,48.23,-0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-08-18,47.38,48.13,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-08-25,47.47,48.07,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-09-01,47.51,48.05,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-09-08,47.51,48.07,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-09-15,47.48,48.11,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-09-22,47.42,48.18,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-09-29,47.33,48.28,-0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-10-06,47.22,48.39,-1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-10-13,47.1,48.5,-1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-10-20,46.97,48.62,-1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-10-27,46.83,48.75,-1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-11-03,46.7,48.87,-2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-11-10,46.56,48.98,-2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-11-17,46.43,49.09,-2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-11-24,46.32,49.17,-2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-01,46.23,49.24,-3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-08,46.15,49.29,-3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-15,46.1,49.32,-3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-22,46.06,49.34,-3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-29,46.05,49.33,-3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-01-05,46.06,49.31,-3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-01-12,46.07,49.28,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-01-19,46.11,49.23,-3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-01-26,46.17,49.16,-2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-02-02,46.25,49.07,-2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-02-09,46.35,48.96,-2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-02-16,46.46,48.84,-2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-02-23,46.58,48.71,-2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-03-02,46.72,48.57,-1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-03-09,46.87,48.41,-1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-03-16,47.03,48.26,-1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-03-23,47.2,48.1,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-03-30,47.37,47.94,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-04-06,47.55,47.78,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-04-13,47.73,47.62,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-04-20,47.9,47.47,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-04-27,48.07,47.34,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-05-04,48.24,47.21,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-05-11,48.4,47.09,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-05-18,48.55,46.98,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-05-25,48.7,46.87,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-06-01,48.84,46.77,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-06-08,48.97,46.68,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-06-15,49.1,46.59,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-06-22,49.23,46.49,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-06-29,49.35,46.4,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-07-06,49.46,46.32,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-07-13,49.56,46.25,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-07-20,49.64,46.18,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-07-27,49.71,46.13,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-08-03,49.77,46.08,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-08-10,49.81,46.05,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-08-17,49.85,46.02,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-08-24,49.87,46.0,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-08-31,49.87,45.98,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-09-07,49.86,45.98,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-09-14,49.83,45.99,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-09-21,49.79,46.02,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-09-28,49.74,46.05,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-10-05,49.67,46.1,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-10-12,49.6,46.16,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-10-19,49.51,46.24,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-10-26,49.41,46.34,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-11-02,49.29,46.46,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-11-09,49.16,46.59,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-11-16,49.02,46.74,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-11-23,48.87,46.9,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-11-30,48.7,47.08,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-07,48.51,47.27,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-14,48.32,47.47,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-21,48.12,47.68,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-28,47.91,47.9,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-01-04,47.68,48.12,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-01-11,47.45,48.35,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-01-18,47.22,48.58,-1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-01-25,46.99,48.81,-1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-02-01,46.76,49.04,-2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-02-08,46.53,49.27,-2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-02-15,46.31,49.5,-3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-02-22,46.08,49.73,-3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-02-29,45.85,49.96,-4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-07,45.61,50.2,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-14,45.36,50.45,-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-21,45.1,50.72,-5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-28,44.83,50.98,-6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-04-04,44.56,51.26,-6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-04-11,44.3,51.52,-7.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-04-18,44.03,51.79,-7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-04-25,43.78,52.05,-8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-05-02,43.53,52.29,-8.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-05-09,43.3,52.51,-9.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-05-16,43.1,52.7,-9.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-05-23,42.92,52.86,-9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-05-30,42.77,52.99,-10.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-06,42.65,53.07,-10.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-13,42.57,53.11,-10.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-20,42.52,53.12,-10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-27,42.51,53.09,-10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-07-04,42.52,53.04,-10.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-07-11,42.55,52.96,-10.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-07-18,42.59,52.88,-10.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-07-25,42.64,52.78,-10.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-01,42.7,52.69,-9.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-08,42.76,52.59,-9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-15,42.81,52.51,-9.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-22,42.86,52.43,-9.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-29,42.89,52.37,-9.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-05,42.92,52.32,-9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-12,42.93,52.28,-9.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-19,42.93,52.25,-9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-26,42.93,52.22,-9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-03,42.91,52.21,-9.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-10,42.89,52.2,-9.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-17,42.86,52.2,-9.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-24,42.81,52.21,-9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-31,42.76,52.23,-9.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-07,42.69,52.26,-9.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-14,42.62,52.3,-9.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-21,42.53,52.36,-9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-28,42.42,52.45,-10.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-05,42.29,52.55,-10.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-12,42.14,52.68,-10.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-19,41.97,52.83,-10.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-26,41.78,53.01,-11.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
